what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268091062242
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268091132561
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268091134791
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268091177273
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268091180730
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268091239150
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268091243329
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268091244364
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268091251489
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268091258810
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268091266505
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268091268030
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268091268299
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268091343981
activated,view,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.views.AntView",1268091348475
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268091351240
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268091352381
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268091353588
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268091368741
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1268091396542
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268091396852
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268091396963
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268091432618
