what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1268217930555
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1268217930571
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1268217930572
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1268217930581
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1268217930593
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1268217930607
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1268217930617
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1268217930624
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1268217930625
os,sysinfo,,,"linux",1268217930631
arch,sysinfo,,,"x86",1268217930631
ws,sysinfo,,,"gtk",1268217930631
locale,sysinfo,,,"en_US",1268217930631
processors,sysinfo,,,"2",1268217930631
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1268217930631
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1268217930631
java.specification.name,sysinfo,,,"Java Platform API Specification",1268217930631
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268217930631
java.specification.version,sysinfo,,,"1.6",1268217930631
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1268217930631
java.version,sysinfo,,,"1.6.0_18",1268217930631
java.vm.info,sysinfo,,,"mixed mode, sharing",1268217930631
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1268217930631
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1268217930631
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268217930631
java.vm.specification.version,sysinfo,,,"1.0",1268217930631
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1268217930631
java.vm.version,sysinfo,,,"16.0-b13",1268217930631
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268218391655
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1268218395803
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1268218400483
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1268218400642
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268218403060
